ancestor_concept_code,descendant_concept_code,min_levels_of_separation,max_levels_of_separation
D000070590,D050614,2,2
D000070590,D050615,2,2
D000070590,D051246,1,1
D000070590,D051269,1,1
D000070590,D051272,2,2
D000070590,D051273,2,2
D000070590,D051274,2,2
D000070590,D051275,2,2
D000070590,D051296,2,2
D000070590,D051297,1,1
D000070590,D058978,1,1
D000070590,D058979,1,1
D000070590,D060347,1,1
D000070590,D064466,2,2
D000070590,D064486,2,2
D000070590,D064506,2,2
D000070590,D064507,2,2
D000070590,D064606,1,1
D000070778,D000070778,0,0
D000070780,D000070780,0,0
D000070796,D000070796,0,0
D000070797,D000070797,0,0
D000070798,D000070798,0,0
D000070816,D000070816,0,0
D000070817,D000070817,0,0
D000070818,D000070818,0,0
D000070818,D000070819,1,1
D000070818,D000070820,1,1
D000070819,D000070819,0,0
D000070820,D000070820,0,0
D000070821,D000070821,0,0
D000070837,D000070837,0,0
D000070837,D000074443,2,2
D000070837,D050880,2,2
D000070837,D050881,3,3
D000070837,D050882,3,3
D000070837,D051548,1,1
D000070837,D056920,2,2
D000070837,D056921,2,2
D000070837,D056926,2,2
D000070837,D063212,2,2
D000070876,D000070876,0,0
D000070956,D000070956,0,0
D000070956,D000070957,1,1
D000070956,D000070976,1,1
D000070957,D000070957,0,0
D000070976,D000070976,0,0
D000070996,D000070996,0,0
D000070996,D000070997,1,1
D000070996,D000070998,1,1
D000070996,D000071018,1,1
D000070996,D000071019,1,1
D000070997,D000070997,0,0
D000070998,D000070998,0,0
D000071018,D000071018,0,0
D000071019,D000071019,0,0
D000071020,D000071020,0,0
D000071058,D000071058,0,0
D000071063,D000071063,0,0
D000071068,D000071068,0,0
D000071096,D000071096,0,0
D000071096,D000071097,1,1
D000071096,D000071116,1,1
D000071096,D000071118,1,1
D000071096,D000071119,1,1
D000071096,D000071120,1,1
D000071096,D000071121,1,1
D000071097,D000071097,0,0
D000071116,D000071116,0,0
D000071118,D000071118,0,0
D000071119,D000071119,0,0
D000071120,D000071120,0,0
D000071121,D000071121,0,0
D000071137,D000071137,0,0
D000071156,D000071156,0,0
D000071158,D000071158,0,0
D000071161,D000071161,0,0
D000071162,D000071162,0,0
D000071162,D000071163,1,1
D000071162,D000071164,1,1
D000071162,D000071165,1,1
D000071163,D000071163,0,0
D000071164,D000071164,0,0
D000071165,D000071165,0,0
D000071176,D000071176,0,0
D000071176,D000071177,1,1
D000071176,D000071178,1,1
D000071177,D000071177,0,0
D000071178,D000071178,0,0
D000071179,D000071179,0,0
D000071181,D000071181,0,0
D000071183,D000071183,0,0
D000071183,D000071186,1,1
D000071183,D000071187,1,1
D000071183,D000071189,1,1
D000071183,D000071190,1,1
D000071183,D000071192,1,1
D000071183,D000071193,1,1
D000071183,D000071456,1,1
D000071186,D000071186,0,0
D000071187,D000071187,0,0
D000071189,D000071189,0,0
D000071190,D000071190,0,0
D000071192,D000071192,0,0
D000071193,D000071193,0,0
D000071198,D000071198,0,0
D000071199,D000071199,0,0
D000071221,D000071221,0,0
D000071222,D000071222,0,0
D000071223,D000071223,0,0
D000071228,D000071228,0,0
D000071229,D000071229,0,0
D000071230,D000071230,0,0
D000071231,D000071231,0,0
D000071232,D000071232,0,0
D000071232,D000071234,1,1
D000071232,D000071235,1,1
D000071232,D058575,1,1
D000071232,D058578,1,1
D000071234,D000071234,0,0
D000071235,D000071235,0,0
D000071245,D000071245,0,0
D000071245,D000071246,1,1
D000071245,D000071247,1,1
D000071245,D000071256,1,1
D000071246,D000071246,0,0
D000071247,D000071247,0,0
D000071248,D000071248,0,0
D000071250,D000071250,0,0
D000071256,D000071256,0,0
D000071316,D000071316,0,0
D000071317,D000071317,0,0
D000071336,D000071336,0,0
D000071396,D000071396,0,0
D000071416,D000071416,0,0
D000071416,D000071417,1,1
D000071416,D051879,1,1
D000071417,D000071417,0,0
D000071425,D000071425,0,0
D000071426,D000071426,0,0
D000071427,D000071427,0,0
D000071438,D000071438,0,0
D000071443,D000071443,0,0
D000071447,D000071447,0,0
D000071449,D000071449,0,0
D000071450,D000071450,0,0
D000071451,D000071451,0,0
D000071456,D000071456,0,0
D000071457,D000071457,0,0
D000071478,D000071478,0,0
D000071478,D000071479,1,1
D000071478,D000071480,1,1
D000071479,D000071479,0,0
D000071480,D000071480,0,0
D000071496,D000071496,0,0
D000071496,D000071498,1,1
D000071496,D000071499,1,1
D000071496,D000071500,1,1
D000071496,D000071501,1,1
D000071496,D000071502,1,1
D000071496,D000071503,1,1
D000071496,D000071516,1,1
D000071498,D000071498,0,0
D000071499,D000071499,0,0
D000071500,D000071500,0,0
D000071501,D000071501,0,0
D000071502,D000071502,0,0
D000071503,D000071503,0,0
D000071516,D000071516,0,0
D000071518,D000071518,0,0
D000071557,D000071557,0,0
D000071557,D000071559,1,1
D000071557,D000071560,1,1
D000071559,D000071559,0,0
D000071560,D000071560,0,0
D000071616,D000071616,0,0
D000071617,D000071617,0,0
D000071636,D000071636,0,0
D000071656,D000071656,0,0
D000071657,D000071657,0,0
D000071676,D000071676,0,0
D000071677,D000071677,0,0
D000071679,D000071679,0,0
D000071681,D000071681,0,0
D000071701,D000071701,0,0
D000071701,D000071716,1,1
D000071716,D000071716,0,0
D000071717,D000071717,0,0
D000071736,D000071736,0,0
D000071736,D000071737,1,1
D000071736,D000071738,1,1
D000071737,D000071737,0,0
D000071738,D000071738,0,0
D000071739,D000071739,0,0
D000071739,D000071740,1,1
D000071739,D000071741,1,1
D000071740,D000071740,0,0
D000071741,D000071741,0,0
D000071756,D000071756,0,0
D000071796,D000071796,0,0
D000071797,D000071797,0,0
D000071797,D063308,1,1
D000071799,D000071799,0,0
D000071816,D000071816,0,0
D000071818,D000071818,0,0
D000071821,D000071821,0,0
D000071837,D000071837,0,0
D000071837,D000071838,1,1
D000071837,D000071840,1,1
D000071838,D000071838,0,0
D000071840,D000071840,0,0
D000071841,D000071841,0,0
D000071857,D000071857,0,0
D000071858,D000071858,0,0
D000071876,D000071876,0,0
D000071877,D000071877,0,0
D000071916,D000071916,0,0
D000071999,D000071999,0,0
D000072,D000072,0,0
D000072000,D000072000,0,0
D000072002,D000072002,0,0
D000072002,D018620,1,1
D000072002,D018621,1,1
D000072002,D018622,2,2
D000072017,D000067699,1,1
D000072017,D000072017,0,0
D000072017,D000072598,2,2
D000072017,D000074749,1,1
D000072017,D000075686,2,2
D000072017,D000076084,2,2
D000072017,D043222,1,1
D000072017,D064570,1,1
D000072019,D000072019,0,0
D000072040,D000072040,0,0
D000072041,D000072041,0,0
D000072056,D000072056,0,0
D000072079,D000072079,0,0
D000072079,D000072081,1,1
D000072079,D000072082,1,1
D000072079,D000077296,1,1
D000072081,D000072081,0,0
D000072082,D000072082,0,0
D000072086,D000072086,0,0
D000072099,D000072099,0,0
D000072099,D000072100,1,1
D000072099,D000072101,1,1
D000072100,D000072100,0,0
D000072101,D000072101,0,0
D000072105,D000072105,0,0
D000072159,D000072159,0,0
D000072160,D000072160,0,0
D000072179,D000072179,0,0
D000072180,D000072180,0,0
D000072180,D000072181,1,1
D000072180,D000072183,1,1
D000072181,D000072181,0,0
D000072183,D000072183,0,0
D000072196,D000072196,0,0
D000072197,D000072197,0,0
D000072198,D000072198,0,0
D000072199,D000072199,0,0
D000072200,D000072200,0,0
D000072216,D000072216,0,0
D000072224,D000072224,0,0
D000072233,D000072233,0,0
D000072235,D000072235,0,0
D000072236,D000072236,0,0
D000072237,D000072237,0,0
D000072259,D000072259,0,0
D000072260,D000068103,1,1
D000072260,D000072260,0,0
D000072260,D000072668,1,1
D000072260,D000072670,1,1
D000072260,D000074019,1,1
