concept_code,standard_concept,class_type
N0000175451,C,MOA
N0000175456,C,MOA
N0000175458,C,MOA
N0000175472,C,MOA
N0000175513,C,MOA
N0000175516,C,MOA
N0000175532,C,MOA
N0000175533,C,MOA
N0000175534,C,MOA
N0000175542,C,MOA
N0000175545,C,MOA
N0000175547,C,MOA
N0000175548,C,MOA
N0000175549,C,MOA
N0000175614,C,MOA
N0000175615,C,MOA
N0000175617,C,MOA
N0000175618,C,MOA
N0000175621,C,MOA
N0000175624,C,MOA
N0000175635,C,MOA
N0000175654,C,MOA
N0000175684,C,MOA
N0000175685,C,MOA
N0000175686,C,MOA
N0000175702,C,MOA
N0000175707,C,MOA
N0000175709,C,MOA
N0000175755,C,MOA
N0000175756,C,MOA
N0000175761,C,MOA
N0000175763,C,MOA
N0000175764,C,MOA
N0000175770,C,MOA
N0000175773,C,MOA
N0000175774,C,MOA
N0000175787,C,MOA
N0000175788,C,MOA
N0000175789,C,MOA
N0000175792,C,MOA
N0000175799,C,MOA
N0000175804,C,MOA
N0000175806,C,MOA
N0000175808,C,MOA
N0000175817,C,MOA
N0000175833,C,MOA
N0000175834,C,MOA
N0000175844,C,MOA
N0000175850,C,MOA
N0000175862,C,MOA
N0000175869,C,MOA
N0000175899,C,MOA
N0000175912,C,MOA
N0000175917,C,MOA
N0000175919,C,MOA
N0000175920,C,MOA
N0000175921,C,MOA
N0000175922,C,MOA
N0000175925,C,MOA
N0000175926,C,MOA
N0000175955,C,MOA
N0000175962,C,MOA
N0000175964,C,MOA
N0000175967,C,MOA
N0000175968,C,MOA
N0000175974,C,MOA
N0000175981,C,MOA
N0000175985,C,MOA
N0000178291,C,MOA
N0000178332,C,MOA
N0000178333,C,MOA
N0000178377,C,MOA
N0000180999,C,MOA
N0000181002,C,MOA
N0000181812,C,MOA
N0000181813,C,MOA
N0000181814,C,MOA
N0000181815,C,MOA
N0000181819,C,MOA
N0000182136,C,MOA
N0000182137,C,MOA
N0000182138,C,MOA
N0000182139,C,MOA
N0000182140,C,MOA
N0000182141,C,MOA
N0000182143,C,MOA
N0000182145,C,MOA
N0000182146,C,MOA
N0000182147,C,MOA
N0000182150,C,MOA
N0000182151,C,MOA
N0000182632,C,MOA
N0000182634,C,MOA
N0000182636,C,MOA
N0000182638,C,MOA
N0000182960,C,MOA
N0000182962,C,MOA
N0000182963,C,MOA
N0000182964,C,MOA
N0000182966,C,MOA
N0000184008,C,MOA
N0000184009,C,MOA
N0000184010,C,MOA
N0000184011,C,MOA
N0000184012,C,MOA
N0000184141,C,MOA
N0000184142,C,MOA
N0000184143,C,MOA
N0000184145,C,MOA
N0000184147,C,MOA
N0000184148,C,MOA
N0000184150,C,MOA
N0000184151,C,MOA
N0000185007,C,MOA
N0000185009,C,MOA
N0000185498,C,MOA
N0000185499,C,MOA
N0000185501,C,MOA
N0000185503,C,MOA
N0000185504,C,MOA
N0000185505,C,MOA
N0000185506,C,MOA
N0000185507,C,MOA
N0000185607,C,MOA
N0000186778,C,MOA
N0000187052,C,MOA
N0000187054,C,MOA
N0000187056,C,MOA
N0000187058,C,MOA
N0000187060,C,MOA
N0000187061,C,MOA
N0000187062,C,MOA
N0000187063,C,MOA
N0000187064,C,MOA
N0000188367,C,MOA
N0000188368,C,MOA
N0000188369,C,MOA
N0000188370,C,MOA
N0000188371,C,MOA
N0000188372,C,MOA
N0000188373,C,MOA
N0000188374,C,MOA
N0000188375,C,MOA
N0000188378,C,MOA
N0000188379,C,MOA
N0000188380,C,MOA
N0000188381,C,MOA
N0000190107,C,MOA
N0000190108,C,MOA
N0000190109,C,MOA
N0000190110,C,MOA
N0000190111,C,MOA
N0000190112,C,MOA
N0000190113,C,MOA
N0000190114,C,MOA
N0000190115,C,MOA
N0000190116,C,MOA
N0000190117,C,MOA
N0000190118,C,MOA
N0000190477,C,MOA
N0000190478,C,MOA
N0000190481,C,MOA
N0000190482,C,MOA
