concept_code,standard_concept,class_type
N0000175675,C,PE
N0000175676,C,PE
N0000175678,C,PE
N0000175726,C,PE
N0000175727,C,PE
N0000175729,C,PE
N0000175730,C,PE
N0000175731,C,PE
N0000175732,C,PE
N0000175733,C,PE
N0000175734,C,PE
N0000175735,C,PE
N0000175793,C,PE
N0000175829,C,PE
N0000175830,C,PE
N0000175851,C,PE
N0000175893,C,PE
N0000175914,C,PE
N0000175915,C,PE
N0000175959,C,PE
N0000175960,C,PE
N0000175965,C,PE
N0000175969,C,PE
N0000175970,C,PE
N0000175975,C,PE
N0000175976,C,PE
N0000175982,C,PE
N0000178323,C,PE
N0000178324,C,PE
N0000178327,C,PE
N0000178328,C,PE
N0000178329,C,PE
N0000182152,C,PE
N0000182153,C,PE
N0000182154,C,PE
N0000182155,C,PE
N0000182156,C,PE
N0000182157,C,PE
N0000182829,C,PE
N0000183363,C,PE
N0000183364,C,PE
N0000183365,C,PE
N0000184157,C,PE
N0000184158,C,PE
N0000184306,C,PE
N0000185001,C,PE
N0000185002,C,PE
