ancestor_concept_code,descendant_concept_code,min_levels_of_separation,max_levels_of_separation
OR000,OR900,1,1
OR100,OR100,0,0
OR200,OR200,0,0
OR300,OR300,0,0
OR400,OR400,0,0
OR500,OR500,0,0
OR900,OR900,0,0
OT000,OT000,0,0
OT000,OT100,1,1
OT000,OT101,2,2
OT000,OT102,2,2
OT000,OT109,2,2
OT000,OT200,1,1
OT000,OT250,1,1
OT000,OT300,1,1
OT000,OT400,1,1
OT000,OT900,1,1
OT100,OT100,0,0
OT100,OT101,1,1
OT100,OT102,1,1
OT100,OT109,1,1
OT200,OT200,0,0
OT250,OT250,0,0
OT300,OT300,0,0
OT400,OT400,0,0
OT900,OT900,0,0
PH000,PH000,0,0
RE000,RE000,0,0
RE000,RE100,1,1
RE000,RE101,2,2
RE000,RE102,2,2
RE000,RE103,2,2
RE000,RE104,2,2
RE000,RE105,2,2
RE000,RE108,2,2
RE000,RE109,2,2
RE000,RE200,1,1
RE000,RE300,1,1
RE000,RE301,2,2
RE000,RE302,2,2
RE000,RE400,1,1
RE000,RE500,1,1
RE000,RE501,2,2
RE000,RE502,2,2
RE000,RE503,2,2
RE000,RE504,2,2
RE000,RE505,2,2
RE000,RE506,2,2
RE000,RE507,2,2
RE000,RE508,2,2
RE000,RE509,2,2
RE000,RE510,2,2
RE000,RE511,2,2
RE000,RE512,2,2
RE000,RE513,2,2
RE000,RE514,2,2
RE000,RE515,2,2
RE000,RE516,2,2
RE000,RE599,2,2
RE000,RE600,1,1
RE000,RE900,1,1
RE100,RE100,0,0
RE100,RE101,1,1
RE100,RE102,1,1
RE100,RE103,1,1
RE100,RE104,1,1
RE100,RE105,1,1
RE100,RE108,1,1
RE100,RE109,1,1
RE200,RE200,0,0
RE300,RE300,0,0
RE300,RE301,1,1
RE300,RE302,1,1
RE400,RE400,0,0
RE500,RE500,0,0
RE500,RE501,1,1
RE500,RE502,1,1
RE500,RE503,1,1
RE500,RE504,1,1
RE500,RE505,1,1
RE500,RE506,1,1
RE500,RE507,1,1
RE500,RE508,1,1
RE500,RE509,1,1
RE500,RE510,1,1
RE500,RE511,1,1
RE500,RE512,1,1
RE500,RE513,1,1
RE500,RE514,1,1
RE500,RE515,1,1
RE500,RE516,1,1
RE500,RE599,1,1
RE600,RE600,0,0
RE900,RE900,0,0
RS000,RS000,0,0
RS000,RS100,1,1
RS000,RS200,1,1
RS000,RS201,2,2
RS000,RS202,2,2
RS000,RS300,1,1
RS000,RS900,1,1
RS100,RS100,0,0
RS200,RS200,0,0
RS200,RS201,1,1
RS200,RS202,1,1
RS300,RS300,0,0
RS900,RS900,0,0
TN000,TN000,0,0
TN000,TN100,1,1
TN000,TN101,2,2
TN000,TN102,2,2
TN000,TN200,1,1
TN000,TN300,1,1
TN000,TN400,1,1
TN000,TN410,2,2
TN000,TN420,2,2
TN000,TN430,2,2
TN000,TN440,2,2
TN000,TN450,2,2
TN000,TN460,2,2
TN000,TN470,2,2
TN000,TN475,2,2
TN000,TN476,2,2
TN000,TN478,2,2
TN000,TN490,2,2
TN000,TN499,2,2
TN000,TN500,1,1
TN000,TN501,2,2
TN000,TN502,2,2
TN000,TN503,2,2
TN000,TN509,2,2
TN000,TN900,1,1
TN100,TN100,0,0
TN100,TN101,1,1
TN100,TN102,1,1
TN200,TN200,0,0
TN300,TN300,0,0
TN400,TN400,0,0
TN400,TN410,1,1
TN400,TN420,1,1
TN400,TN430,1,1
TN400,TN440,1,1
TN400,TN450,1,1
TN400,TN460,1,1
TN400,TN470,1,1
TN400,TN475,1,1
TN400,TN476,1,1
TN400,TN478,1,1
TN400,TN490,1,1
TN400,TN499,1,1
TN500,TN500,0,0
TN500,TN501,1,1
TN500,TN502,1,1
TN500,TN503,1,1
TN500,TN509,1,1
TN900,TN900,0,0
VA000,AA000,1,1
VA000,AD000,1,1
VA000,AD100,2,2
VA000,AD200,2,2
VA000,AD300,2,2
VA000,AD400,2,2
VA000,AD900,2,2
VA000,AH000,1,1
VA000,AH100,2,2
VA000,AH102,2,2
VA000,AH103,2,2
VA000,AH104,2,2
VA000,AH105,2,2
VA000,AH106,2,2
VA000,AH107,2,2
VA000,AH109,2,2
VA000,AM000,1,1
VA000,AM110,3,3
VA000,AM111,3,3
VA000,AM112,3,3
VA000,AM113,3,3
VA000,AM114,2,2
VA000,AM115,3,3
VA000,AM116,3,3
VA000,AM117,3,3
VA000,AM118,3,3
VA000,AM119,3,3
VA000,AM150,2,2
VA000,AM200,2,2
VA000,AM250,2,2
VA000,AM300,2,2
VA000,AM350,2,2
VA000,AM400,2,2
VA000,AM500,2,2
VA000,AM550,2,2
VA000,AM600,2,2
VA000,AM650,2,2
VA000,AM700,2,2
VA000,AM800,2,2
VA000,AM900,2,2
VA000,AN000,1,1
VA000,AN100,2,2
VA000,AN200,2,2
VA000,AN300,2,2
VA000,AN400,2,2
VA000,AN500,2,2
VA000,AN600,2,2
VA000,AN700,2,2
VA000,AN900,2,2
VA000,AP000,1,1
VA000,AP100,2,2
VA000,AP101,3,3
VA000,AP109,3,3
VA000,AP200,2,2
VA000,AP300,2,2
VA000,AP900,2,2
VA000,AS000,1,1
VA000,AU000,1,1
VA000,AU100,2,2
VA000,AU200,2,2
VA000,AU300,2,2
VA000,AU350,2,2
VA000,AU900,2,2
VA000,BL000,1,1
VA000,BL110,2,2
VA000,BL115,2,2
VA000,BL116,2,2
VA000,BL117,2,2
VA000,BL118,2,2
VA000,BL400,2,2
VA000,BL500,2,2
VA000,BL800,2,2
VA000,BL900,2,2
VA000,CN000,1,1
VA000,CN100,2,2
VA000,CN101,3,3
VA000,CN102,3,3
VA000,CN103,3,3
VA000,CN104,3,3
VA000,CN105,3,3
VA000,CN200,2,2
VA000,CN201,3,3
VA000,CN202,3,3
VA000,CN203,3,3
VA000,CN204,3,3
VA000,CN205,3,3
VA000,CN300,2,2
VA000,CN301,3,3
VA000,CN302,3,3
VA000,CN309,3,3
VA000,CN400,2,2
VA000,CN500,2,2
