concept_code_1,relationship_id,relationship_source,relationship_type,concept_code_2
D000072471,Subsumes,DAILYMED,INDIRECT,6313
D000072471,Subsumes,DAILYMED,INDIRECT,6470
D000072471,Subsumes,DAILYMED,INDIRECT,683
D000072471,Subsumes,DAILYMED,INDIRECT,6854
D000072471,Subsumes,DAILYMED,INDIRECT,6883
D000072471,Subsumes,DAILYMED,INDIRECT,6960
D000072471,Subsumes,DAILYMED,INDIRECT,7233
D000072471,Subsumes,DAILYMED,INDIRECT,733
D000072471,Subsumes,DAILYMED,INDIRECT,7623
D000072471,Subsumes,DAILYMED,INDIRECT,7773
D000072471,Subsumes,DAILYMED,INDIRECT,7781
D000072471,Subsumes,DAILYMED,INDIRECT,7980
D000072471,Subsumes,DAILYMED,INDIRECT,7984
D000072471,Subsumes,DAILYMED,INDIRECT,8076
D000072471,Subsumes,DAILYMED,INDIRECT,819911
D000072471,Subsumes,DAILYMED,INDIRECT,82122
D000072471,Subsumes,DAILYMED,INDIRECT,83682
D000072471,Subsumes,DAILYMED,INDIRECT,8704
D000072471,Subsumes,DAILYMED,INDIRECT,8745
D000072471,Subsumes,DAILYMED,INDIRECT,877015
D000072471,Subsumes,DAILYMED,INDIRECT,91178
D000072471,Subsumes,DAILYMED,INDIRECT,9384
D000072473,Subsumes,DAILYMED,INDIRECT,10379
D000072473,Subsumes,DAILYMED,INDIRECT,11065
D000072473,Subsumes,DAILYMED,INDIRECT,11516
D000072473,Subsumes,DAILYMED,INDIRECT,1440856
D000072473,Subsumes,DAILYMED,INDIRECT,1855064
D000072473,Subsumes,DAILYMED,INDIRECT,1894
D000072473,Subsumes,DAILYMED,INDIRECT,2418
D000072473,Subsumes,DAILYMED,INDIRECT,29365
D000072473,Subsumes,DAILYMED,INDIRECT,3102
D000072473,Subsumes,DAILYMED,INDIRECT,3407
D000072473,Subsumes,DAILYMED,INDIRECT,4018
D000072473,Subsumes,DAILYMED,INDIRECT,4089
D000072473,Subsumes,DAILYMED,INDIRECT,4494
D000072473,Subsumes,DAILYMED,INDIRECT,6904
D000072473,Subsumes,DAILYMED,INDIRECT,73710
D000072473,Subsumes,DAILYMED,INDIRECT,8727
D000073999,Subsumes,DAILYMED,INDIRECT,4910
D000074385,Subsumes,DAILYMED,INDIRECT,1010965
D000074385,Subsumes,DAILYMED,INDIRECT,1011043
D000074385,Subsumes,DAILYMED,INDIRECT,1012134
D000074385,Subsumes,DAILYMED,INDIRECT,1309292
D000074385,Subsumes,DAILYMED,INDIRECT,1310189
D000074385,Subsumes,DAILYMED,INDIRECT,1313692
D000074385,Subsumes,DAILYMED,INDIRECT,1353217
D000074385,Subsumes,DAILYMED,INDIRECT,1364295
D000074385,Subsumes,DAILYMED,INDIRECT,1368197
