concept_code_1,class_type_1,relationship_id,relationship_source,relationship_type,concept_code_2,class_type_2
42686,TC,Mapped from,FMTSME,NA,42686,TC
42790,TC,Mapped from,FMTSME,NA,42790,TC
430,TC,Mapped from,FMTSME,NA,430,TC
4441,TC,Mapped from,FMTSME,NA,4441,TC
4450,TC,Mapped from,FMTSME,NA,4450,TC
4451,TC,Mapped from,FMTSME,NA,4451,TC
451796,TC,Mapped from,FMTSME,NA,451796,TC
4678,TC,Mapped from,FMTSME,NA,4678,TC
473837,TC,Mapped from,FMTSME,NA,473837,TC
47461,TC,Mapped from,FMTSME,NA,47461,TC
47464,TC,Mapped from,FMTSME,NA,47464,TC
4780,TC,Mapped from,FMTSME,NA,4780,TC
47858,TC,Mapped from,FMTSME,NA,47858,TC
47877,TC,Mapped from,FMTSME,NA,47877,TC
47998,TC,Mapped from,FMTSME,NA,47998,TC
48305,TC,Mapped from,FMTSME,NA,48305,TC
485026,TC,Mapped from,FMTSME,NA,485026,TC
49247,TC,Mapped from,FMTSME,NA,49247,TC
50749,TC,Mapped from,FMTSME,NA,50749,TC
5093,TC,Mapped from,FMTSME,NA,5093,TC
51256,TC,Mapped from,FMTSME,NA,51256,TC
51272,TC,Mapped from,FMTSME,NA,51272,TC
5293,TC,Mapped from,FMTSME,NA,5293,TC
5514,TC,Mapped from,FMTSME,NA,5514,TC
5521,TC,Mapped from,FMTSME,NA,5521,TC
55672,TC,Mapped from,FMTSME,NA,55672,TC
56461,TC,Mapped from,FMTSME,NA,56461,TC
5653,TC,Mapped from,FMTSME,NA,5653,TC
56798,TC,Mapped from,FMTSME,NA,56798,TC
569,TC,Mapped from,FMTSME,NA,569,TC
5690,TC,Mapped from,FMTSME,NA,5690,TC
5691,TC,Mapped from,FMTSME,NA,5691,TC
57227,TC,Mapped from,FMTSME,NA,57227,TC
5775,TC,Mapped from,FMTSME,NA,5775,TC
57789,TC,Mapped from,FMTSME,NA,57789,TC
58130,TC,Mapped from,FMTSME,NA,58130,TC
60212,TC,Mapped from,FMTSME,NA,60212,TC
6038,TC,Mapped from,FMTSME,NA,6038,TC
6069,TC,Mapped from,FMTSME,NA,6069,TC
6099,TC,Mapped from,FMTSME,NA,6099,TC
6135,TC,Mapped from,FMTSME,NA,6135,TC
61381,TC,Mapped from,FMTSME,NA,61381,TC
623400,TC,Mapped from,FMTSME,NA,623400,TC
6387,TC,Mapped from,FMTSME,NA,6387,TC
641,TC,Mapped from,FMTSME,NA,641,TC
642274,TC,Mapped from,FMTSME,NA,642274,TC
643,TC,Mapped from,FMTSME,NA,643,TC
6572,TC,Mapped from,FMTSME,NA,6572,TC
6573,TC,Mapped from,FMTSME,NA,6573,TC
6672,TC,Mapped from,FMTSME,NA,6672,TC
6676,TC,Mapped from,FMTSME,NA,6676,TC
66912,TC,Mapped from,FMTSME,NA,66912,TC
6694,TC,Mapped from,FMTSME,NA,6694,TC
66955,TC,Mapped from,FMTSME,NA,66955,TC
6757,TC,Mapped from,FMTSME,NA,6757,TC
679314,TC,Mapped from,FMTSME,NA,679314,TC
6922,TC,Mapped from,FMTSME,NA,6922,TC
6926,TC,Mapped from,FMTSME,NA,6926,TC
6932,TC,Mapped from,FMTSME,NA,6932,TC
7008,TC,Mapped from,FMTSME,NA,7008,TC
7019,TC,Mapped from,FMTSME,NA,7019,TC
703,TC,Mapped from,FMTSME,NA,703,TC
704,TC,Mapped from,FMTSME,NA,704,TC
71227,TC,Mapped from,FMTSME,NA,71227,TC
71532,TC,Mapped from,FMTSME,NA,71532,TC
722,TC,Mapped from,FMTSME,NA,722,TC
72236,TC,Mapped from,FMTSME,NA,72236,TC
723,TC,Mapped from,FMTSME,NA,723,TC
7233,TC,Mapped from,FMTSME,NA,7233,TC
72611,TC,Mapped from,FMTSME,NA,72611,TC
7268,TC,Mapped from,FMTSME,NA,7268,TC
7276,TC,Mapped from,FMTSME,NA,7276,TC
7299,TC,Mapped from,FMTSME,NA,7299,TC
7300,TC,Mapped from,FMTSME,NA,7300,TC
73178,TC,Mapped from,FMTSME,NA,73178,TC
732,TC,Mapped from,FMTSME,NA,732,TC
733,TC,Mapped from,FMTSME,NA,733,TC
7337,TC,Mapped from,FMTSME,NA,7337,TC
7454,TC,Mapped from,FMTSME,NA,7454,TC
7517,TC,Mapped from,FMTSME,NA,7517,TC
7531,TC,Mapped from,FMTSME,NA,7531,TC
7597,TC,Mapped from,FMTSME,NA,7597,TC
7623,TC,Mapped from,FMTSME,NA,7623,TC
7773,TC,Mapped from,FMTSME,NA,7773,TC
7778,TC,Mapped from,FMTSME,NA,7778,TC
7821,TC,Mapped from,FMTSME,NA,7821,TC
784649,TC,Mapped from,FMTSME,NA,784649,TC
78903,TC,Mapped from,FMTSME,NA,78903,TC
7934,TC,Mapped from,FMTSME,NA,7934,TC
797272,TC,Mapped from,FMTSME,NA,797272,TC
7975,TC,Mapped from,FMTSME,NA,7975,TC
7980,TC,Mapped from,FMTSME,NA,7980,TC
7982,TC,Mapped from,FMTSME,NA,7982,TC
7983,TC,Mapped from,FMTSME,NA,7983,TC
7994,TC,Mapped from,FMTSME,NA,7994,TC
7995,TC,Mapped from,FMTSME,NA,7995,TC
8183,TC,Mapped from,FMTSME,NA,8183,TC
81945,TC,Mapped from,FMTSME,NA,81945,TC
81953,TC,Mapped from,FMTSME,NA,81953,TC
81981,TC,Mapped from,FMTSME,NA,81981,TC
81982,TC,Mapped from,FMTSME,NA,81982,TC
81984,TC,Mapped from,FMTSME,NA,81984,TC
819911,TC,Mapped from,FMTSME,NA,819911,TC
81993,TC,Mapped from,FMTSME,NA,81993,TC
82005,TC,Mapped from,FMTSME,NA,82005,TC
82041,TC,Mapped from,FMTSME,NA,82041,TC
82047,TC,Mapped from,FMTSME,NA,82047,TC
82051,TC,Mapped from,FMTSME,NA,82051,TC
82065,TC,Mapped from,FMTSME,NA,82065,TC
82101,TC,Mapped from,FMTSME,NA,82101,TC
82122,TC,Mapped from,FMTSME,NA,82122,TC
82126,TC,Mapped from,FMTSME,NA,82126,TC
82130,TC,Mapped from,FMTSME,NA,82130,TC
82131,TC,Mapped from,FMTSME,NA,82131,TC
82806,TC,Mapped from,FMTSME,NA,82806,TC
8331,TC,Mapped from,FMTSME,NA,8331,TC
8339,TC,Mapped from,FMTSME,NA,8339,TC
83682,TC,Mapped from,FMTSME,NA,83682,TC
847728,TC,Mapped from,FMTSME,NA,847728,TC
8536,TC,Mapped from,FMTSME,NA,8536,TC
858045,TC,Mapped from,FMTSME,NA,858045,TC
8611,TC,Mapped from,FMTSME,NA,8611,TC
8628,TC,Mapped from,FMTSME,NA,8628,TC
864624,TC,Mapped from,FMTSME,NA,864624,TC
8687,TC,Mapped from,FMTSME,NA,8687,TC
8689,TC,Mapped from,FMTSME,NA,8689,TC
8691,TC,Mapped from,FMTSME,NA,8691,TC
8700,TC,Mapped from,FMTSME,NA,8700,TC
8754,TC,Mapped from,FMTSME,NA,8754,TC
8886,TC,Mapped from,FMTSME,NA,8886,TC
89013,TC,Mapped from,FMTSME,NA,89013,TC
8987,TC,Mapped from,FMTSME,NA,8987,TC
9010,TC,Mapped from,FMTSME,NA,9010,TC
90650,TC,Mapped from,FMTSME,NA,90650,TC
9068,TC,Mapped from,FMTSME,NA,9068,TC
9069,TC,Mapped from,FMTSME,NA,9069,TC
9071,TC,Mapped from,FMTSME,NA,9071,TC
9075,TC,Mapped from,FMTSME,NA,9075,TC
91075,TC,Mapped from,FMTSME,NA,91075,TC
91118,TC,Mapped from,FMTSME,NA,91118,TC
91135,TC,Mapped from,FMTSME,NA,91135,TC
91293,TC,Mapped from,FMTSME,NA,91293,TC
91516,TC,Mapped from,FMTSME,NA,91516,TC
9344,TC,Mapped from,FMTSME,NA,9344,TC
9384,TC,Mapped from,FMTSME,NA,9384,TC
9793,TC,Mapped from,FMTSME,NA,9793,TC
9893,TC,Mapped from,FMTSME,NA,9893,TC
9898,TC,Mapped from,FMTSME,NA,9898,TC
9900,TC,Mapped from,FMTSME,NA,9900,TC
9919,TC,Mapped from,FMTSME,NA,9919,TC
9947,TC,Mapped from,FMTSME,NA,9947,TC
10109,TC,Maps to,FMTSME,NA,10109,TC
10110,TC,Maps to,FMTSME,NA,10110,TC
101299,TC,Maps to,FMTSME,NA,101299,TC
10169,TC,Maps to,FMTSME,NA,10169,TC
10171,TC,Maps to,FMTSME,NA,10171,TC
10180,TC,Maps to,FMTSME,NA,10180,TC
10207,TC,Maps to,FMTSME,NA,10207,TC
10208,TC,Maps to,FMTSME,NA,10208,TC
10349,TC,Maps to,FMTSME,NA,10349,TC
10395,TC,Maps to,FMTSME,NA,10395,TC
1040005,TC,Maps to,FMTSME,NA,1040005,TC
1040028,TC,Maps to,FMTSME,NA,1040028,TC
10450,TC,Maps to,FMTSME,NA,10450,TC
10510,TC,Maps to,FMTSME,NA,10510,TC
10591,TC,Maps to,FMTSME,NA,10591,TC
10612,TC,Maps to,FMTSME,NA,10612,TC
10627,TC,Maps to,FMTSME,NA,10627,TC
10803,TC,Maps to,FMTSME,NA,10803,TC
10827,TC,Maps to,FMTSME,NA,10827,TC
10829,TC,Maps to,FMTSME,NA,10829,TC
10834,TC,Maps to,FMTSME,NA,10834,TC
1101333,TC,Maps to,FMTSME,NA,1101333,TC
1111103,TC,Maps to,FMTSME,NA,1111103,TC
11118,TC,Maps to,FMTSME,NA,11118,TC
11124,TC,Maps to,FMTSME,NA,11124,TC
114477,TC,Maps to,FMTSME,NA,114477,TC
115698,TC,Maps to,FMTSME,NA,115698,TC
119771,TC,Maps to,FMTSME,NA,119771,TC
121243,TC,Maps to,FMTSME,NA,121243,TC
1272,TC,Maps to,FMTSME,NA,1272,TC
1294533,TC,Maps to,FMTSME,NA,1294533,TC
1297879,TC,Maps to,FMTSME,NA,1297879,TC
133008,TC,Maps to,FMTSME,NA,133008,TC
1362737,TC,Maps to,FMTSME,NA,1362737,TC
1364449,TC,Maps to,FMTSME,NA,1364449,TC
1364504,TC,Maps to,FMTSME,NA,1364504,TC
138099,TC,Maps to,FMTSME,NA,138099,TC
139462,TC,Maps to,FMTSME,NA,139462,TC
140108,TC,Maps to,FMTSME,NA,140108,TC
142138,TC,Maps to,FMTSME,NA,142138,TC
142434,TC,Maps to,FMTSME,NA,142434,TC
142435,TC,Maps to,FMTSME,NA,142435,TC
142440,TC,Maps to,FMTSME,NA,142440,TC
142446,TC,Maps to,FMTSME,NA,142446,TC
142447,TC,Maps to,FMTSME,NA,142447,TC
1426,TC,Maps to,FMTSME,NA,1426,TC
1426874,TC,Maps to,FMTSME,NA,1426874,TC
1427224,TC,Maps to,FMTSME,NA,1427224,TC
1482680,TC,Maps to,FMTSME,NA,1482680,TC
1482913,TC,Maps to,FMTSME,NA,1482913,TC
1484911,TC,Maps to,FMTSME,NA,1484911,TC
14851,TC,Maps to,FMTSME,NA,14851,TC
1494066,TC,Maps to,FMTSME,NA,1494066,TC
150816,TC,Maps to,FMTSME,NA,150816,TC
15226,TC,Maps to,FMTSME,NA,15226,TC
1539239,TC,Maps to,FMTSME,NA,1539239,TC
153972,TC,Maps to,FMTSME,NA,153972,TC
1539753,TC,Maps to,FMTSME,NA,1539753,TC
1540824,TC,Maps to,FMTSME,NA,1540824,TC
1540825,TC,Maps to,FMTSME,NA,1540825,TC
1543173,TC,Maps to,FMTSME,NA,1543173,TC
1547611,TC,Maps to,FMTSME,NA,1547611,TC
1549827,TC,Maps to,FMTSME,NA,1549827,TC
155056,TC,Maps to,FMTSME,NA,155056,TC
1591922,TC,Maps to,FMTSME,NA,1591922,TC
1596450,TC,Maps to,FMTSME,NA,1596450,TC
