ancestor_concept_code,descendant_concept_code,level_of_separation
DE000,DE800,1
DE000,DE810,2
DE800,DE800,0
DE800,DE810,1
DE810,DE810,0
VA000,DE820,3
DE000,DE820,2
DE800,DE820,1
DE820,DE820,0
VA000,DE890,2
DE000,DE890,1
DE890,DE890,0
VA000,DE900,2
DE000,DE900,1
DE900,DE900,0
VA000,DX000,1
VA000,DX100,2
VA000,DX101,3
DX000,DX000,0
DX000,DX100,1
DX000,DX101,2
DX100,DX100,0
DX100,DX101,1
DX101,DX101,0
VA000,DX102,3
DX000,DX102,2
DX100,DX102,1
DX102,DX102,0
VA000,DX109,3
DX000,DX109,2
DX100,DX109,1
DX109,DX109,0
VA000,DX200,2
VA000,DX201,3
DX000,DX200,1
DX000,DX201,2
DX200,DX200,0
DX200,DX201,1
DX201,DX201,0
VA000,DX202,3
DX000,DX202,2
DX200,DX202,1
DX202,DX202,0
VA000,DX300,2
DX000,DX300,1
DX300,DX300,0
VA000,DX900,2
DX000,DX900,1
DX900,DX900,0
VA000,GA000,1
VA000,GA100,2
VA000,GA101,3
GA000,GA000,0
GA000,GA100,1
GA000,GA101,2
GA100,GA100,0
GA100,GA101,1
GA101,GA101,0
VA000,GA102,3
GA000,GA102,2
GA100,GA102,1
GA102,GA102,0
VA000,GA103,3
GA000,GA103,2
GA100,GA103,1
GA103,GA103,0
VA000,GA104,3
GA000,GA104,2
GA100,GA104,1
GA104,GA104,0
VA000,GA105,3
GA000,GA105,2
GA100,GA105,1
GA105,GA105,0
VA000,GA106,3
GA000,GA106,2
GA100,GA106,1
GA106,GA106,0
VA000,GA107,3
GA000,GA107,2
GA100,GA107,1
GA107,GA107,0
VA000,GA108,3
GA000,GA108,2
GA100,GA108,1
GA108,GA108,0
VA000,GA109,3
GA000,GA109,2
GA100,GA109,1
GA109,GA109,0
VA000,GA110,3
GA000,GA110,2
GA100,GA110,1
GA110,GA110,0
VA000,GA199,3
GA000,GA199,2
GA100,GA199,1
GA199,GA199,0
VA000,GA200,2
VA000,GA201,3
GA000,GA200,1
GA000,GA201,2
GA200,GA200,0
GA200,GA201,1
GA201,GA201,0
VA000,GA202,3
GA000,GA202,2
GA200,GA202,1
GA202,GA202,0
VA000,GA203,3
GA000,GA203,2
GA200,GA203,1
GA203,GA203,0
VA000,GA204,3
GA000,GA204,2
GA200,GA204,1
GA204,GA204,0
VA000,GA205,3
GA000,GA205,2
GA200,GA205,1
GA205,GA205,0
VA000,GA206,3
GA000,GA206,2
GA200,GA206,1
GA206,GA206,0
VA000,GA209,3
GA000,GA209,2
GA200,GA209,1
GA209,GA209,0
VA000,GA208,2
GA000,GA208,1
GA208,GA208,0
VA000,GA300,2
VA000,GA301,3
GA000,GA300,1
GA000,GA301,2
GA300,GA300,0
GA300,GA301,1
