ancestor_concept_code,descendant_concept_code,level_of_separation
D018377,D058907,4
D058905,D058905,0
D058905,D058913,1
D058905,D058906,2
D058905,D058907,3
D058913,D058913,0
D058913,D058906,1
D058913,D058907,2
D058906,D058906,0
D058906,D058907,1
D058907,D058907,0
D020228,D058908,6
D045505,D058908,5
D018377,D058908,4
D058905,D058908,3
D058913,D058908,2
D058906,D058908,1
D058908,D058908,0
D020228,D058909,6
D045505,D058909,5
D018377,D058909,4
D058905,D058909,3
D058913,D058909,2
D058906,D058909,1
D058909,D058909,0
D020228,D058910,5
D020228,D058911,6
D045505,D058910,4
D045505,D058911,5
D018377,D058910,3
D018377,D058911,4
D058905,D058910,2
D058905,D058911,3
D058913,D058910,1
D058913,D058911,2
D058910,D058910,0
D058910,D058911,1
D058911,D058911,0
D020228,D058912,6
D045505,D058912,5
D018377,D058912,4
D058905,D058912,3
D058913,D058912,2
D058910,D058912,1
D058912,D058912,0
D020228,D058914,4
D020228,D058915,5
D020228,D058916,6
D045505,D058914,3
D045505,D058915,4
D045505,D058916,5
D018377,D058914,2
D018377,D058915,3
D018377,D058916,4
D058905,D058914,1
D058905,D058915,2
D058905,D058916,3
D058914,D058914,0
D058914,D058915,1
D058914,D058916,2
D058915,D058915,0
D058915,D058916,1
D058916,D058916,0
D020228,D058917,6
D045505,D058917,5
D018377,D058917,4
D058905,D058917,3
D058914,D058917,2
D058915,D058917,1
D058917,D058917,0
D020228,D058918,6
D045505,D058918,5
D018377,D058918,4
D058905,D058918,3
D058914,D058918,2
D058915,D058918,1
D058918,D058918,0
D020228,D058919,5
D020228,D058920,6
D045505,D058919,4
D045505,D058920,5
D018377,D058919,3
D018377,D058920,4
D058905,D058919,2
D058905,D058920,3
D058914,D058919,1
D058914,D058920,2
D058919,D058919,0
D058919,D058920,1
D058920,D058920,0
D020228,D058921,6
D045505,D058921,5
D018377,D058921,4
D058905,D058921,3
D058914,D058921,2
D058919,D058921,1
D058921,D058921,0
D020228,D064729,3
D045505,D064729,2
D018377,D064729,1
D064729,D064729,0
D020228,D002492,2
D020228,D006993,3
D020228,D000068776,4
D020228,D000068796,5
D045505,D002492,1
D045505,D006993,2
D045505,D000068776,3
D045505,D000068796,4
D002492,D002492,0
D002492,D006993,1
D002492,D000068776,2
D002492,D000068796,3
D006993,D006993,0
D006993,D000068776,1
D006993,D000068796,2
D000068776,D000068776,0
D000068776,D000068796,1
D020228,D009294,3
D020228,D000701,4
D045505,D009294,2
D045505,D000701,3
D002492,D009294,1
D002492,D000701,2
D009294,D009294,0
D009294,D000701,1
D000701,D000701,0
D020228,D000777,3
D020228,D018681,4
D020228,D018686,5
D020228,D000778,6
D045505,D000777,2
D045505,D018681,3
D045505,D018686,4
D045505,D000778,5
D002492,D000777,1
D002492,D018681,2
D002492,D018686,3
D002492,D000778,4
D000777,D000777,0
D000777,D018681,1
D000777,D018686,2
D000777,D000778,3
D018681,D018681,0
D018681,D018686,1
D018681,D000778,2
D018686,D018686,0
D018686,D000778,1
D000778,D000778,0
D020228,D018685,5
D045505,D018685,4
D002492,D018685,3
D000777,D018685,2
D018681,D018685,1
D018685,D018685,0
D020228,D000779,4
D045505,D000779,3
D002492,D000779,2
D000777,D000779,1
D000779,D000779,0
D020228,D019162,4
D045505,D019162,3
D002492,D019162,2
D000777,D019162,1
D019162,D019162,0
D020228,D014149,3
D020228,D014150,4
D045505,D014149,2
D045505,D014150,3
D002492,D014149,1
D002492,D014150,2
D014149,D014149,0
D014149,D014150,1
D014150,D014150,0
D020228,D014151,4
D045505,D014151,3
D002492,D014151,2
D014149,D014151,1
D014151,D014151,0
D020228,D018692,4
D045505,D018692,3
D002492,D018692,2
D014149,D018692,1
D018692,D018692,0
D020228,D018977,2
D020228,D014815,3
D020228,D000072664,4
D045505,D018977,1
D045505,D014815,2
D045505,D000072664,3
D018977,D018977,0
D018977,D014815,1
D018977,D000072664,2
D014815,D014815,0
D014815,D000072664,1
D000072664,D000072664,0
D020228,D014803,4
D045505,D014803,3
D018977,D014803,2
D014815,D014803,1
D014803,D014803,0
D020228,D007004,2
D020228,D000077203,3
D045505,D007004,1
D045505,D000077203,2
D007004,D007004,0
D007004,D000077203,1
D000077203,D000077203,0
D020228,D054873,3
D045505,D054873,2
D007004,D054873,1
D054873,D054873,0
D020228,D065089,3
D045505,D065089,2
D007004,D065089,1
D065089,D065089,0
D020228,D065091,3
D045505,D065091,2
D007004,D065091,1
D065091,D065091,0
D020228,D018373,2
