ancestor_concept_code,descendant_concept_code,min_levels_of_separation,max_levels_of_separation
N0000008327,N0000020041,2,2
N0000008327,N0000020042,3,3
N0000008327,N0000020043,3,3
N0000008328,N0000008328,0,0
N0000008328,N0000009757,1,1
N0000008328,N0000009809,1,1
N0000008329,N0000008329,0,0
N0000008329,N0000009756,1,1
N0000008329,N0000009808,1,1
N0000008330,N0000008302,1,1
N0000008330,N0000008303,1,1
N0000008330,N0000008330,0,0
N0000008330,N0000008369,1,1
N0000008330,N0000008370,1,1
N0000008330,N0000009763,1,1
N0000008330,N0000009764,1,1
N0000008330,N0000009913,1,1
N0000008330,N0000009914,1,1
N0000008330,N0000010283,2,2
N0000008330,N0000010284,2,2
N0000008330,N0000010285,2,2
N0000008330,N0000010286,2,2
N0000008330,N0000010287,2,2
N0000008331,N0000008298,4,4
N0000008331,N0000008299,4,4
N0000008331,N0000008302,2,2
N0000008331,N0000008303,2,2
N0000008331,N0000008328,1,1
N0000008331,N0000008329,1,1
N0000008331,N0000008330,1,1
N0000008331,N0000008331,0,0
N0000008331,N0000008351,5,5
N0000008331,N0000008352,5,5
N0000008331,N0000008369,2,2
N0000008331,N0000008370,2,2
N0000008331,N0000008371,6,6
N0000008331,N0000008372,6,6
N0000008331,N0000008374,5,5
N0000008331,N0000008375,5,5
N0000008331,N0000008376,5,5
N0000008331,N0000008377,5,5
N0000008331,N0000009058,6,6
N0000008331,N0000009059,6,6
N0000008331,N0000009751,5,5
N0000008331,N0000009752,5,5
N0000008331,N0000009753,5,5
N0000008331,N0000009754,5,5
N0000008331,N0000009756,2,2
N0000008331,N0000009757,2,2
N0000008331,N0000009763,2,2
N0000008331,N0000009764,2,2
N0000008331,N0000009775,6,6
N0000008331,N0000009776,6,6
N0000008331,N0000009798,5,5
N0000008331,N0000009808,2,2
N0000008331,N0000009809,2,2
N0000008331,N0000009815,5,5
N0000008331,N0000009816,5,5
N0000008331,N0000009817,5,5
N0000008331,N0000009818,5,5
N0000008331,N0000009823,6,6
N0000008331,N0000009824,6,6
N0000008331,N0000009825,5,5
N0000008331,N0000009826,5,5
N0000008331,N0000009827,6,6
N0000008331,N0000009828,6,6
N0000008331,N0000009834,6,6
N0000008331,N0000009835,6,6
N0000008331,N0000009855,5,5
N0000008331,N0000009856,5,5
N0000008331,N0000009882,5,5
N0000008331,N0000009883,5,5
N0000008331,N0000009905,2,2
N0000008331,N0000009906,2,2
N0000008331,N0000009908,3,3
N0000008331,N0000009909,3,3
N0000008331,N0000009910,4,4
N0000008331,N0000009911,4,4
N0000008331,N0000009913,2,2
N0000008331,N0000009914,2,2
N0000008331,N0000009940,5,5
N0000008331,N0000009941,5,5
N0000008331,N0000010250,2,2
N0000008331,N0000010251,3,3
N0000008331,N0000010252,3,3
N0000008331,N0000010253,4,4
N0000008331,N0000010254,4,4
N0000008331,N0000010269,3,3
N0000008331,N0000010270,4,4
N0000008331,N0000010271,4,4
N0000008331,N0000010283,3,3
N0000008331,N0000010284,3,3
N0000008331,N0000010285,3,3
N0000008331,N0000010286,3,3
N0000008331,N0000010287,3,3
N0000008331,N0000020002,1,1
N0000008331,N0000020003,2,2
N0000008331,N0000020004,3,3
N0000008331,N0000020005,3,3
N0000008331,N0000175379,5,5
N0000008331,N0000175380,6,6
N0000008331,N0000175381,6,6
N0000008331,N0000175382,6,6
N0000008331,N0000175383,6,6
N0000008331,N0000175384,7,7
N0000008331,N0000175385,7,7
N0000008331,N0000175386,7,7
N0000008331,N0000175387,7,7
N0000008331,N0000175388,6,6
N0000008331,N0000175389,6,6
N0000008331,N0000175390,6,6
N0000008331,N0000175391,7,7
N0000008331,N0000175392,7,7
N0000008331,N0000175393,6,6
N0000008331,N0000175394,6,6
N0000008331,N0000175395,5,5
N0000008331,N0000175396,6,6
N0000008331,N0000175397,6,6
N0000008331,N0000175398,6,6
N0000008331,N0000175399,6,6
N0000008331,N0000175400,7,7
N0000008331,N0000175401,7,7
N0000008331,N0000175402,7,7
N0000008331,N0000175403,7,7
N0000008331,N0000175404,6,6
N0000008331,N0000175405,6,6
N0000008331,N0000175406,6,6
N0000008331,N0000175407,7,7
N0000008331,N0000175408,7,7
N0000008331,N0000175409,6,6
N0000008331,N0000175410,6,6
N0000008331,N0000178476,1,1
N0000008331,N0000178477,2,2
N0000008331,N0000178478,2,2
N0000008332,N0000008332,0,0
N0000008333,N0000008333,0,0
N0000008333,N0000008647,1,1
N0000008333,N0000009341,1,1
N0000008334,N0000008334,0,0
N0000008334,N0000008476,1,1
N0000008334,N0000008477,1,1
N0000008334,N0000009172,1,1
N0000008334,N0000009173,1,1
