concept_code,standard_concept,class_type
D000737,C,CHEM
D000738,C,CHEM
D000781,C,CHEM
D000804,C,CHEM
D000809,C,CHEM
D000812,C,CHEM
D000840,C,CHEM
D000865,C,CHEM
D000872,C,CHEM
D000875,C,CHEM
D000888,C,CHEM
D000906,C,CHEM
D000911,C,CHEM
D000941,C,CHEM
D000942,C,CHEM
D000943,C,CHEM
D000944,C,CHEM
D000946,C,CHEM
D000954,C,CHEM
D000956,C,CHEM
D000961,C,CHEM
D000963,C,CHEM
D000965,C,CHEM
D000966,C,CHEM
D000967,C,CHEM
D000983,C,CHEM
D000990,C,CHEM
D000992,C,CHEM
D001031,C,CHEM
D001032,C,CHEM
D001073,C,CHEM
D001084,C,CHEM
D001087,C,CHEM
D001088,C,CHEM
D001095,C,CHEM
D001104,C,CHEM
D001120,C,CHEM
D001127,C,CHEM
D001128,C,CHEM
D001147,C,CHEM
D001149,C,CHEM
D001151,C,CHEM
D001152,C,CHEM
D001180,C,CHEM
D001190,C,CHEM
D001192,C,CHEM
D001205,C,CHEM
D001215,C,CHEM
D001216,C,CHEM
D001218,C,CHEM
D001224,C,CHEM
D001262,C,CHEM
D001279,C,CHEM
D001310,C,CHEM
D001374,C,CHEM
D001378,C,CHEM
D001381,C,CHEM
D001384,C,CHEM
D001385,C,CHEM
D001388,C,CHEM
D001389,C,CHEM
D001390,C,CHEM
D001391,C,CHEM
D001392,C,CHEM
D001398,C,CHEM
D001414,C,CHEM
D001418,C,CHEM
D001425,C,CHEM
D001427,C,CHEM
D001428,C,CHEM
D001453,C,CHEM
D001455,C,CHEM
D001462,C,CHEM
D001464,C,CHEM
D001466,C,CHEM
D001500,C,CHEM
D001507,C,CHEM
D001535,C,CHEM
D001537,C,CHEM
D001539,C,CHEM
D001544,C,CHEM
D001545,C,CHEM
D001546,C,CHEM
D001547,C,CHEM
D001548,C,CHEM
D001550,C,CHEM
D001551,C,CHEM
D001553,C,CHEM
D001554,C,CHEM
D001556,C,CHEM
D001557,C,CHEM
D001558,C,CHEM
D001561,C,CHEM
D001564,C,CHEM
D001566,C,CHEM
D001573,C,CHEM
D001575,C,CHEM
D001577,C,CHEM
D001580,C,CHEM
D001583,C,CHEM
D001584,C,CHEM
D001585,C,CHEM
D001589,C,CHEM
D001590,C,CHEM
D001591,C,CHEM
D001592,C,CHEM
D001597,C,CHEM
D001599,C,CHEM
D001600,C,CHEM
D001608,C,CHEM
D001609,C,CHEM
D001616,C,CHEM
D001621,C,CHEM
D001622,C,CHEM
D001623,C,CHEM
D001624,C,CHEM
D001626,C,CHEM
D001627,C,CHEM
D001629,C,CHEM
D001632,C,CHEM
D001639,C,CHEM
D001643,C,CHEM
D001647,C,CHEM
D001704,C,CHEM
D001708,C,CHEM
D001710,C,CHEM
D001712,C,CHEM
D001726,C,CHEM
D001728,C,CHEM
D001881,C,CHEM
D001892,C,CHEM
D001897,C,CHEM
D001905,C,CHEM
D001920,C,CHEM
D001950,C,CHEM
D001952,C,CHEM
D001959,C,CHEM
D001960,C,CHEM
D001963,C,CHEM
D001964,C,CHEM
D001965,C,CHEM
D001966,C,CHEM
D001969,C,CHEM
D001970,C,CHEM
D001971,C,CHEM
D001973,C,CHEM
D001977,C,CHEM
D002018,C,CHEM
D002019,C,CHEM
D002034,C,CHEM
D002040,C,CHEM
D002046,C,CHEM
D002047,C,CHEM
D002064,C,CHEM
D002066,C,CHEM
D002070,C,CHEM
D002072,C,CHEM
D002073,C,CHEM
D002074,C,CHEM
D002077,C,CHEM
D002082,C,CHEM
D002083,C,CHEM
D002084,C,CHEM
D002086,C,CHEM
D002090,C,CHEM
D002104,C,CHEM
D002108,C,CHEM
D002109,C,CHEM
D002112,C,CHEM
D002116,C,CHEM
D002117,C,CHEM
D002118,C,CHEM
D002119,C,CHEM
D002122,C,CHEM
D002123,C,CHEM
D002124,C,CHEM
D002125,C,CHEM
D002126,C,CHEM
D002129,C,CHEM
D002130,C,CHEM
D002131,C,CHEM
D002133,C,CHEM
D002159,C,CHEM
D002164,C,CHEM
D002185,C,CHEM
D002186,C,CHEM
D002187,C,CHEM
D002191,C,CHEM
D002192,C,CHEM
D002193,C,CHEM
D002207,C,CHEM
D002208,C,CHEM
D002210,C,CHEM
D002211,C,CHEM
D002215,C,CHEM
D002216,C,CHEM
D002217,C,CHEM
D002218,C,CHEM
D002224,C,CHEM
D002227,C,CHEM
D002228,C,CHEM
D002229,C,CHEM
D002230,C,CHEM
D002231,C,CHEM
D002233,C,CHEM
D002234,C,CHEM
D002244,C,CHEM
D002245,C,CHEM
D002246,C,CHEM
D002248,C,CHEM
D002251,C,CHEM
D002254,C,CHEM
D002255,C,CHEM
D002260,C,CHEM
D002265,C,CHEM
D002266,C,CHEM
D002268,C,CHEM
D002271,C,CHEM
D002297,C,CHEM
D002298,C,CHEM
D002301,C,CHEM
D002323,C,CHEM
D002327,C,CHEM
D002328,C,CHEM
D002329,C,CHEM
D002330,C,CHEM
D002331,C,CHEM
D002336,C,CHEM
D002351,C,CHEM
D002352,C,CHEM
D002354,C,CHEM
D002355,C,CHEM
D002374,C,CHEM
D002392,C,CHEM
D002393,C,CHEM
D002433,C,CHEM
D002434,C,CHEM
D002435,C,CHEM
D002436,C,CHEM
D002437,C,CHEM
D002438,C,CHEM
D002439,C,CHEM
D002440,C,CHEM
D002441,C,CHEM
D002442,C,CHEM
D002443,C,CHEM
D002444,C,CHEM
D002480,C,CHEM
D002482,C,CHEM
D002483,C,CHEM
D002504,C,CHEM
D002505,C,CHEM
D002506,C,CHEM
D002509,C,CHEM
D002512,C,CHEM
D002513,C,CHEM
D002514,C,CHEM
D002515,C,CHEM
D002518,C,CHEM
D002563,C,CHEM
D002586,C,CHEM
D002592,C,CHEM
D002593,C,CHEM
D002594,C,CHEM
D002595,C,CHEM
D002606,C,CHEM
D002630,C,CHEM
D002635,C,CHEM
D002686,C,CHEM
D002697,C,CHEM
D002700,C,CHEM
D002701,C,CHEM
D002704,C,CHEM
D002707,C,CHEM
D002710,C,CHEM
D002712,C,CHEM
D002713,C,CHEM
D002715,C,CHEM
D002719,C,CHEM
D002720,C,CHEM
D002722,C,CHEM
D002724,C,CHEM
D002725,C,CHEM
D002726,C,CHEM
D002728,C,CHEM
