concept_code_1,relationship_id,relationship_source,relationship_type,concept_code_2
VA000,Subsumes,VA,INDIRECT,4008463
VA000,Subsumes,VA,INDIRECT,4009759
VA000,Subsumes,VA,INDIRECT,4009545
VA000,Subsumes,VA,INDIRECT,4009127
VA000,Subsumes,VA,INDIRECT,4009442
VA000,Subsumes,VA,INDIRECT,4025354
VA000,Subsumes,VA,INDIRECT,4025382
VA000,Subsumes,VA,INDIRECT,4001272
VA000,Subsumes,VA,INDIRECT,4017009
VA000,Subsumes,VA,INDIRECT,4025376
VA000,Subsumes,VA,INDIRECT,4017300
VA000,Subsumes,VA,INDIRECT,4009123
VA000,Subsumes,VA,INDIRECT,4010220
VA000,Subsumes,VA,INDIRECT,4008142
VA000,Subsumes,VA,INDIRECT,4009793
VA000,Subsumes,VA,INDIRECT,4026003
VA000,Subsumes,VA,INDIRECT,4009805
VA000,Subsumes,VA,INDIRECT,4025048
VA000,Subsumes,VA,INDIRECT,4010510
VA000,Subsumes,VA,INDIRECT,4005590
VA000,Subsumes,VA,INDIRECT,4009801
VA000,Subsumes,VA,INDIRECT,4017003
VA000,Subsumes,VA,INDIRECT,4025347
VA000,Subsumes,VA,INDIRECT,4026083
VT000,Subsumes,VA,INDIRECT,4009442
VT800,Subsumes,VA,INDIRECT,4009442
VT801,Subsumes,VA,DIRECT,4009442
1363043,Mapped from,VA,DIRECT,4009769
577312,Mapped from,VA,DIRECT,4009123
90732,Mapped from,VA,DIRECT,4005590
2129,Mapped from,VA,DIRECT,4008463
258439,Mapped from,VA,DIRECT,4009127
32926,Mapped from,VA,DIRECT,4001272
1007537,Mapped from,VA,DIRECT,4017099
1305608,Mapped from,VA,DIRECT,4017007
1305653,Mapped from,VA,DIRECT,4016017
1305661,Mapped from,VA,DIRECT,4015995
1309206,Mapped from,VA,DIRECT,4025385
1309213,Mapped from,VA,DIRECT,4025357
1309236,Mapped from,VA,DIRECT,4016014
1309245,Mapped from,VA,DIRECT,4025352
1309373,Mapped from,VA,DIRECT,4025365
1358977,Mapped from,VA,DIRECT,4017225
1360631,Mapped from,VA,DIRECT,4025356
1431224,Mapped from,VA,DIRECT,4017224
