concept_code_1,relationship_id,relationship_source,relationship_type,concept_code_2
D000089183,Subsumes,MEDRT,INDIRECT,1927283
D000089183,Subsumes,MEDRT,INDIRECT,203189
D000089183,Subsumes,MEDRT,INDIRECT,203214
D000089183,Subsumes,MEDRT,INDIRECT,2103476
D000089183,Subsumes,MEDRT,INDIRECT,2103477
D000089183,Subsumes,MEDRT,INDIRECT,2103479
D000089183,Subsumes,MEDRT,INDIRECT,2103480
D000089183,Subsumes,MEDRT,INDIRECT,214555
D000089183,Subsumes,MEDRT,INDIRECT,21655
D000089183,Subsumes,MEDRT,INDIRECT,2266523
D000089183,Subsumes,MEDRT,INDIRECT,22690
D000089183,Subsumes,MEDRT,INDIRECT,22694
D000089183,Subsumes,MEDRT,INDIRECT,235486
D000089183,Subsumes,MEDRT,INDIRECT,2378841
D000089183,Subsumes,MEDRT,INDIRECT,258329
D000089183,Subsumes,MEDRT,INDIRECT,268872
D000089183,Subsumes,MEDRT,INDIRECT,2878
D000089183,Subsumes,MEDRT,INDIRECT,29917
D000089183,Subsumes,MEDRT,INDIRECT,3264
D000089183,Subsumes,MEDRT,INDIRECT,3265
D000089183,Subsumes,MEDRT,INDIRECT,327361
D000089183,Subsumes,MEDRT,INDIRECT,3355
D000089183,Subsumes,MEDRT,INDIRECT,33787
D000089183,Subsumes,MEDRT,INDIRECT,34372
D000089183,Subsumes,MEDRT,INDIRECT,34374
D000089183,Subsumes,MEDRT,INDIRECT,34376
D000089183,Subsumes,MEDRT,INDIRECT,36761
D000089183,Subsumes,MEDRT,INDIRECT,38546
D000089183,Subsumes,MEDRT,INDIRECT,48933
D000089183,Subsumes,MEDRT,INDIRECT,55062
D000089183,Subsumes,MEDRT,INDIRECT,55063
D000089183,Subsumes,MEDRT,INDIRECT,5640
D000089183,Subsumes,MEDRT,INDIRECT,5781
D000089183,Subsumes,MEDRT,INDIRECT,62136
D000089183,Subsumes,MEDRT,INDIRECT,68115
D000089183,Subsumes,MEDRT,INDIRECT,6902
D000089183,Subsumes,MEDRT,INDIRECT,709271
D000089183,Subsumes,MEDRT,INDIRECT,7258
D000089183,Subsumes,MEDRT,INDIRECT,81997
D000089183,Subsumes,MEDRT,INDIRECT,8356
D000089183,Subsumes,MEDRT,INDIRECT,8638
D000089183,Subsumes,MEDRT,INDIRECT,8640
D000090362,Subsumes,MEDRT,INDIRECT,1919083
D000090362,Subsumes,MEDRT,INDIRECT,282388
D000090362,Subsumes,MEDRT,INDIRECT,284924
D000090362,Subsumes,MEDRT,INDIRECT,3538
D000090362,Subsumes,MEDRT,INDIRECT,42612
D000126,Subsumes,MEDRT,DIRECT,7993
D000140,Subsumes,MEDRT,DIRECT,140480
D000140,Subsumes,MEDRT,DIRECT,5531
D000141,Subsumes,MEDRT,DIRECT,1435636
D000141,Subsumes,MEDRT,DIRECT,2049608
D000141,Subsumes,MEDRT,DIRECT,21183
D000141,Subsumes,MEDRT,DIRECT,221079
D000141,Subsumes,MEDRT,DIRECT,221149
D000141,Subsumes,MEDRT,DIRECT,221163
D000141,Subsumes,MEDRT,DIRECT,221946
D000141,Subsumes,MEDRT,DIRECT,36676
D000141,Subsumes,MEDRT,DIRECT,54993
D000151,Subsumes,MEDRT,DIRECT,10167
D000151,Subsumes,MEDRT,DIRECT,1300476
D000151,Subsumes,MEDRT,DIRECT,1545984
D000151,Subsumes,MEDRT,DIRECT,166010
D000151,Subsumes,MEDRT,DIRECT,1727573
D000151,Subsumes,MEDRT,DIRECT,203117
D000151,Subsumes,MEDRT,DIRECT,203172
D000151,Subsumes,MEDRT,DIRECT,203183
D000151,Subsumes,MEDRT,DIRECT,20481
D000151,Subsumes,MEDRT,DIRECT,2186
D000151,Subsumes,MEDRT,DIRECT,2191
D000151,Subsumes,MEDRT,DIRECT,2192
D000151,Subsumes,MEDRT,DIRECT,2193
D000151,Subsumes,MEDRT,DIRECT,221071
D000151,Subsumes,MEDRT,DIRECT,235552
D000151,Subsumes,MEDRT,DIRECT,236058
D000151,Subsumes,MEDRT,DIRECT,6099
D000151,Subsumes,MEDRT,DIRECT,641
D000151,Subsumes,MEDRT,DIRECT,643
D000151,Subsumes,MEDRT,DIRECT,82100
D000151,Subsumes,MEDRT,DIRECT,82126
D000152,Subsumes,MEDRT,DIRECT,10223
D000152,Subsumes,MEDRT,DIRECT,102758
D000152,Subsumes,MEDRT,DIRECT,10395
D000152,Subsumes,MEDRT,DIRECT,10753
D000152,Subsumes,MEDRT,DIRECT,1418
D000152,Subsumes,MEDRT,DIRECT,142446
D000152,Subsumes,MEDRT,DIRECT,1545999
D000152,Subsumes,MEDRT,DIRECT,18602
D000152,Subsumes,MEDRT,DIRECT,2059018
D000152,Subsumes,MEDRT,DIRECT,2059038
D000152,Subsumes,MEDRT,DIRECT,2059173
D000152,Subsumes,MEDRT,DIRECT,2105975
D000152,Subsumes,MEDRT,DIRECT,21235
D000152,Subsumes,MEDRT,DIRECT,21272
D000152,Subsumes,MEDRT,DIRECT,2205637
D000152,Subsumes,MEDRT,DIRECT,221083
D000152,Subsumes,MEDRT,DIRECT,221175
D000152,Subsumes,MEDRT,DIRECT,22656
D000152,Subsumes,MEDRT,DIRECT,235418
D000152,Subsumes,MEDRT,DIRECT,236847
D000152,Subsumes,MEDRT,DIRECT,236873
D000152,Subsumes,MEDRT,DIRECT,24346
D000152,Subsumes,MEDRT,DIRECT,24347
D000152,Subsumes,MEDRT,DIRECT,24351
D000152,Subsumes,MEDRT,DIRECT,253186
D000152,Subsumes,MEDRT,DIRECT,2582
D000152,Subsumes,MEDRT,DIRECT,266974
D000152,Subsumes,MEDRT,DIRECT,3154
D000152,Subsumes,MEDRT,DIRECT,31983
D000152,Subsumes,MEDRT,DIRECT,31984
D000152,Subsumes,MEDRT,DIRECT,35382
D000152,Subsumes,MEDRT,DIRECT,4053
D000152,Subsumes,MEDRT,DIRECT,4055
D000152,Subsumes,MEDRT,DIRECT,4056
D000152,Subsumes,MEDRT,DIRECT,4058
D000152,Subsumes,MEDRT,DIRECT,4780
D000152,Subsumes,MEDRT,DIRECT,5293
D000152,Subsumes,MEDRT,DIRECT,60223
D000152,Subsumes,MEDRT,DIRECT,6064
D000152,Subsumes,MEDRT,DIRECT,6979
D000152,Subsumes,MEDRT,DIRECT,6980
D000152,Subsumes,MEDRT,DIRECT,7514
D000152,Subsumes,MEDRT,DIRECT,7821
D000152,Subsumes,MEDRT,DIRECT,797272
D000152,Subsumes,MEDRT,DIRECT,81982
D000152,Subsumes,MEDRT,DIRECT,81993
D000152,Subsumes,MEDRT,DIRECT,82065
D000152,Subsumes,MEDRT,DIRECT,83947
D000152,Subsumes,MEDRT,DIRECT,89767
D000152,Subsumes,MEDRT,DIRECT,91075
D000152,Subsumes,MEDRT,DIRECT,9522
D000152,Subsumes,MEDRT,DIRECT,9525
D000152,Subsumes,MEDRT,DIRECT,9907
D000172,Subsumes,MEDRT,DIRECT,142426
D000172,Subsumes,MEDRT,DIRECT,1760
D000172,Subsumes,MEDRT,DIRECT,221130
D000172,Subsumes,MEDRT,DIRECT,236167
D000172,Subsumes,MEDRT,DIRECT,278739
D000172,Subsumes,MEDRT,DIRECT,68092
D000172,Subsumes,MEDRT,DIRECT,7617
D000196,Subsumes,MEDRT,DIRECT,1297882
D000196,Subsumes,MEDRT,DIRECT,1299048
D000196,Subsumes,MEDRT,DIRECT,133008
D000196,Subsumes,MEDRT,DIRECT,203115
D000196,Subsumes,MEDRT,DIRECT,203133
D000196,Subsumes,MEDRT,DIRECT,203195
D000196,Subsumes,MEDRT,DIRECT,221058
D000196,Subsumes,MEDRT,DIRECT,267360
D000196,Subsumes,MEDRT,DIRECT,3154
D000196,Subsumes,MEDRT,DIRECT,723
D000196,Subsumes,MEDRT,DIRECT,733
D000196,Subsumes,MEDRT,DIRECT,7980
D000196,Subsumes,MEDRT,DIRECT,7982
D000196,Subsumes,MEDRT,DIRECT,7983
D000196,Subsumes,MEDRT,DIRECT,81953
D000196,Subsumes,MEDRT,DIRECT,81993
D000196,Subsumes,MEDRT,DIRECT,9900
D000208,Subsumes,MEDRT,DIRECT,1298840
D000208,Subsumes,MEDRT,DIRECT,1367172
D000208,Subsumes,MEDRT,DIRECT,1424883
D000208,Subsumes,MEDRT,DIRECT,1424884
D000208,Subsumes,MEDRT,DIRECT,1546428
D000208,Subsumes,MEDRT,DIRECT,19831
D000208,Subsumes,MEDRT,DIRECT,236216
D000208,Subsumes,MEDRT,DIRECT,25120
D000208,Subsumes,MEDRT,DIRECT,25255
D000208,Subsumes,MEDRT,DIRECT,3538
D000208,Subsumes,MEDRT,DIRECT,36117
D000208,Subsumes,MEDRT,DIRECT,42612
D000208,Subsumes,MEDRT,DIRECT,72616
D000208,Subsumes,MEDRT,DIRECT,998038
D000258,Subsumes,MEDRT,DIRECT,9344
D000267,Subsumes,MEDRT,DIRECT,1223
D000267,Subsumes,MEDRT,DIRECT,139778
D000267,Subsumes,MEDRT,DIRECT,153971
D000267,Subsumes,MEDRT,DIRECT,339270
D000267,Subsumes,MEDRT,DIRECT,85247
D000267,Subsumes,MEDRT,DIRECT,85248
D000293,Subsumes,MEDRT,DIRECT,314293
D000306,Subsumes,MEDRT,INDIRECT,7004
D000310,Subsumes,MEDRT,INDIRECT,7004
D000312,Subsumes,MEDRT,DIRECT,103468
D000312,Subsumes,MEDRT,DIRECT,163524
D000312,Subsumes,MEDRT,DIRECT,21651
D000312,Subsumes,MEDRT,DIRECT,235482
D000312,Subsumes,MEDRT,DIRECT,235483
D000312,Subsumes,MEDRT,DIRECT,27196
D000312,Subsumes,MEDRT,DIRECT,27197
D000312,Subsumes,MEDRT,DIRECT,27199
D000312,Subsumes,MEDRT,DIRECT,41277
D000312,Subsumes,MEDRT,DIRECT,5492
D000328,Subsumes,MEDRT,INDIRECT,104592
D000328,Subsumes,MEDRT,INDIRECT,11636
D000328,Subsumes,MEDRT,INDIRECT,14584
D000328,Subsumes,MEDRT,INDIRECT,22656
D000328,Subsumes,MEDRT,INDIRECT,236525
D000328,Subsumes,MEDRT,INDIRECT,3013
D000328,Subsumes,MEDRT,INDIRECT,32613
D000328,Subsumes,MEDRT,INDIRECT,660767
D000328,Subsumes,MEDRT,INDIRECT,6782
D000347,Subsumes,MEDRT,DIRECT,2264108
D000347,Subsumes,MEDRT,DIRECT,314623
D000347,Subsumes,MEDRT,DIRECT,4385
D000361,Subsumes,MEDRT,DIRECT,2059218
D000361,Subsumes,MEDRT,DIRECT,2059219
D000368,Subsumes,MEDRT,INDIRECT,104592
D000368,Subsumes,MEDRT,DIRECT,11636
D000368,Subsumes,MEDRT,DIRECT,14584
D000368,Subsumes,MEDRT,DIRECT,22656
