ancestor_concept_code,descendant_concept_code,min_levels_of_separation,max_levels_of_separation
D003271,D003278,2,2
D003271,D003279,2,2
D003271,D003280,2,2
D003271,D003281,1,1
D003271,D003282,2,2
D003271,D003283,2,2
D003271,D008186,1,1
D003271,D008600,1,1
D003272,D003272,0,0
D003276,D003276,0,0
D003276,D003278,1,1
D003276,D003279,1,1
D003276,D003280,1,1
D003277,D003277,0,0
D003278,D003278,0,0
D003279,D003279,0,0
D003280,D003280,0,0
D003281,D003281,0,0
D003281,D003282,1,1
D003281,D003283,1,1
D003282,D003282,0,0
D003283,D003283,0,0
D003287,D003287,0,0
D003292,D003292,0,0
D003358,D003358,0,0
D003358,D013473,1,1
D003451,D003451,0,0
D003473,D003473,0,0
D003879,D000982,1,1
D003879,D001252,1,1
D003879,D003879,0,0
D003879,D004643,1,1
D003879,D007641,1,1
D003879,D017319,1,1
D004202,D004202,0,0
D004202,D012388,2,2
D004202,D018639,1,1
D004202,D019551,1,1
D004202,D064548,1,1
D004232,D004232,0,0
D004232,D004234,1,1
D004232,D049993,1,1
D004232,D049994,1,1
D004232,D062686,2,2
D004232,D062865,1,1
D004234,D004234,0,0
D004304,D000075162,1,1
D004304,D003102,1,1
D004304,D004304,0,0
D004304,D004655,2,2
D004304,D005217,3,3
D004338,D003277,1,1
D004338,D004338,0,0
D004364,D000075162,2,2
D004364,D000075528,2,2
D004364,D000089582,3,3
D004364,D000277,2,2
D004364,D002314,3,3
D004364,D003102,2,2
D004364,D003277,2,2
D004364,D004304,1,1
D004364,D004338,1,1
D004364,D004364,0,0
D004364,D004655,3,3
D004364,D005217,4,4
D004364,D009883,3,3
D004364,D010592,1,1
D004364,D012597,3,3
D004364,D012996,1,1
D004364,D015312,4,4
D004364,D015314,3,3
D004364,D018639,2,2
D004364,D019999,2,2
D004364,D057947,3,3
D004364,D065346,4,4
D004602,D004602,0,0
D004602,D014131,1,1
D004639,D004639,0,0
D004643,D004643,0,0
D004655,D004655,0,0
D004655,D005217,1,1
D004786,D000091362,5,5
D004786,D000477,2,2
D004786,D000922,2,2
D004786,D000924,4,4
D004786,D000960,3,3
D004786,D000963,2,2
D004786,D000964,3,3
D004786,D000988,2,2
D004786,D004786,0,0
D004786,D007302,2,2
D004786,D008082,4,4
D004786,D009676,1,1
D004786,D010575,1,1
D004786,D013078,3,3
D004786,D013089,3,3
D004786,D013092,3,3
D004786,D018906,3,3
D004786,D019161,5,5
D004786,D052244,1,1
D004786,D054872,4,4
D004786,D058867,5,5
D004791,D000067856,1,1
D004791,D000067956,1,1
D004791,D000075242,2,2
D004791,D000075563,3,3
D004791,D000081082,1,1
D004791,D000084762,2,2
D004791,D000085683,3,3
D004791,D000088802,3,3
D004791,D000091062,1,1
D004791,D000091203,2,2
D004791,D000091362,3,3
D004791,D000806,2,2
D004791,D000991,3,3
D004791,D002257,1,1
D004791,D002800,1,1
D004791,D004791,0,0
D004791,D005493,1,1
D004791,D008996,1,1
D004791,D010726,1,1
D004791,D011480,1,1
D004791,D011500,1,1
D004791,D014361,3,3
D004791,D014475,1,1
D004791,D015842,2,2
D004791,D015853,2,2
D004791,D016859,1,1
D004791,D016861,1,1
D004791,D017320,3,3
D004791,D018894,2,2
D004791,D019161,1,1
D004791,D019384,1,1
D004791,D019428,2,2
D004791,D019429,1,1
D004791,D047428,1,1
D004791,D052246,2,2
D004791,D054328,1,1
D004791,D054873,2,2
D004791,D056572,1,1
D004791,D058892,1,1
D004791,D058946,1,1
D004791,D058986,2,2
D004791,D058987,2,2
D004791,D058988,2,2
D004791,D059003,1,1
D004791,D059004,2,2
D004791,D059005,2,2
D004791,D061945,3,3
D004791,D061965,2,2
D004791,D061988,2,2
D004791,D064800,1,1
D004791,D064801,1,1
D004791,D065086,1,1
D004791,D065089,1,1
D004791,D065093,1,1
D004791,D065095,1,1
D004791,D065098,1,1
D004791,D065105,1,1
D004791,D065108,1,1
D004791,D065427,4,4
D004791,D065607,1,1
D004791,D065609,2,2
D004791,D065686,2,2
D004791,D065687,2,2
D004791,D065688,2,2
D004791,D065689,2,2
D004791,D065690,2,2
D004791,D065691,2,2
D004791,D065692,2,2
D004793,D002801,1,1
D004793,D004793,0,0
D004965,D004965,0,0
D004965,D047072,1,1
D004965,D065171,1,1
D004967,D004967,0,0
D004967,D004968,1,1
D004967,D048789,2,2
D004968,D004968,0,0
D004968,D048789,1,1
D005100,D005100,0,0
D005217,D005217,0,0
D005299,D005299,0,0
D005299,D005300,1,1
D005299,D005303,1,1
D005300,D005300,0,0
D005303,D005303,0,0
D005343,D005343,0,0
D005369,D005369,0,0
D005493,D005493,0,0
D005730,D005730,0,0
D005731,D005731,0,0
D005740,D005740,0,0
D005740,D064426,1,1
D005765,D000074268,1,1
D005765,D000863,1,1
D005765,D000897,1,1
D005765,D000930,1,1
D005765,D000932,1,1
D005765,D002400,1,1
D005765,D002756,1,1
D005765,D004639,1,1
D005765,D005765,0,0
D005765,D008082,1,1
D005765,D054368,1,1
D005765,D058867,2,2
D005916,D000906,3,3
D005916,D000922,5,5
D005916,D005916,0,0
D005916,D007136,2,2
D005916,D012712,1,1
D005916,D018796,4,4
D005938,D005938,0,0
D006074,D006074,0,0
D006074,D014528,1,1
D006131,D006131,0,0
D006131,D020533,1,1
D006133,D006131,1,1
D006133,D006133,0,0
D006133,D010937,1,1
D006133,D020533,2,2
D006133,D043924,1,1
D006133,D043925,2,2
D006213,D006213,0,0
D006388,D006388,0,0
D006397,D006397,0,0
D006401,D000089964,3,3
D006401,D000373,2,2
D006401,D000925,1,1
D006401,D000933,3,3
D006401,D000986,1,1
D006401,D000991,2,2
D006401,D001802,1,1
D006401,D003029,1,1
D006401,D005343,1,1
D006401,D006388,3,3
D006401,D006397,1,1
D006401,D006401,0,0
D006401,D006490,2,2
D006401,D006494,2,2
D006401,D010952,2,2
D006401,D010975,1,1
D006401,D065427,3,3
D006490,D000089964,1,1
D006490,D000933,1,1
D006490,D006490,0,0
D006494,D006494,0,0
D006633,D006633,0,0
D006633,D006634,1,1
D006633,D006635,1,1
D006633,D039563,2,2
D006633,D054828,1,1
D006634,D006634,0,0
D006634,D039563,1,1
D006635,D006635,0,0
D006727,D000451,1,1
D006727,D000726,1,1
D006727,D004965,1,1
D006727,D006727,0,0
D006727,D007329,1,1
D006727,D011448,1,1
D006727,D013956,1,1
D006727,D020024,1,1
D006727,D020845,2,2
D006727,D020847,1,1
D006727,D047072,2,2
D006727,D057466,2,2
D006727,D057966,1,1
D006727,D058888,2,2
D006727,D058891,2,2
D006727,D059002,2,2
D006727,D065088,1,1
D006727,D065171,2,2
D006728,D000305,1,1
D006728,D000728,1,1
D006728,D004967,1,1
D006728,D004968,2,2
D006728,D005938,1,2
D006728,D006728,0,0
D006728,D008901,1,1
D006728,D011372,1,1
D006728,D045930,1,1
D006728,D048789,3,3
D006728,D054795,1,1
D006728,D063385,1,1
D006728,D063386,2,2
D006728,D063387,2,2
D006730,D000305,2,2
D006730,D000451,2,2
D006730,D000726,2,2
D006730,D000728,2,2
D006730,D004965,2,2
D006730,D004967,2,2
D006730,D004968,3,3
D006730,D005938,2,3
D006730,D006727,1,1
D006730,D006728,1,1
D006730,D006730,0,0
D006730,D007329,2,2
D006730,D008901,2,2
D006730,D011372,2,2
D006730,D011448,2,2
D006730,D013956,2,2
D006730,D020024,2,2
D006730,D020845,3,3
D006730,D020847,2,2
D006730,D045930,2,2
D006730,D047072,3,3
D006730,D048789,4,4
D006730,D054795,2,2
D006730,D057466,3,3
D006730,D057966,2,2
D006730,D058888,3,3
D006730,D058891,3,3
D006730,D059002,3,3
D006730,D063385,2,2
D006730,D063386,3,3
D006730,D063387,3,3
D006730,D065088,2,2
D006730,D065171,3,3
D006993,D000068776,1,1
D006993,D000068796,2,2
D006993,D006993,0,0
D007004,D000077203,1,1
D007004,D007004,0,0
D007004,D054873,1,1
D007004,D065089,1,1
D007004,D065091,1,1
D007136,D000906,1,1
D007136,D000922,3,3
D007136,D007136,0,0
D007136,D018796,2,2
D007155,D000081243,2,2
D007155,D000082142,1,1
D007155,D000088902,2,2
D007155,D000091203,2,2
D007155,D000091369,1,1
D007155,D000276,1,1
D007155,D000373,1,1
D007155,D006388,2,2
D007155,D007155,0,0
D007155,D007166,1,1
D007155,D007369,1,1
D007155,D019653,2,2
D007155,D051056,2,2
D007155,D065094,3,3
D007162,D000906,2,2
D007162,D000922,4,4
D007162,D007136,1,1
D007162,D007162,0,0
D007162,D018796,3,3
D007166,D000081243,1,1
D007166,D000088902,1,1
D007166,D000091203,1,1
D007166,D007166,0,0
D007166,D019653,1,1
D007166,D051056,1,1
D007166,D065094,2,2
D007202,D007202,0,0
D007202,D011933,1,1
D007202,D011934,2,2
D007202,D019275,1,1
D007202,D056325,1,1
D007287,D004602,1,1
D007287,D005740,1,1
D007287,D007287,0,0
D007287,D014131,2,2
D007287,D064426,2,2
D007302,D007302,0,0
D007329,D007329,0,0
D007369,D007369,0,0
D007476,D007476,0,0
D007476,D061207,1,1
D007476,D061209,1,1
D007476,D061210,1,1
D007476,D061216,1,1
D007502,D007502,0,0
