classId1,rela,classId2
N0000008374,isa,N0000008298
N0000009770,isa,N0000009802
N0000009906,isa,N0000020002
N0000009908,isa,N0000009906
N0000020002,isa,N0000008331
N0000008299,isa,N0000009909
N0000008331,isa,N0000009770
N0000008375,isa,N0000008299
N0000009770,isa,N0000009802
N0000009906,isa,N0000020002
N0000009909,isa,N0000009906
N0000020002,isa,N0000008331
N0000008298,isa,N0000009908
N0000008331,isa,N0000009770
N0000008376,isa,N0000008298
N0000009770,isa,N0000009802
N0000009906,isa,N0000020002
N0000009908,isa,N0000009906
N0000020002,isa,N0000008331
N0000008299,isa,N0000009909
N0000008331,isa,N0000009770
N0000008377,isa,N0000008299
N0000009770,isa,N0000009802
N0000009906,isa,N0000020002
N0000009909,isa,N0000009906
N0000020002,isa,N0000008331
N0000008337,isa,N0000009057
N0000008346,isa,N0000008337
N0000008378,isa,N0000008346
N0000009057,isa,N0000009802
N0000008337,isa,N0000009057
N0000008339,isa,N0000008337
N0000008347,isa,N0000008339
N0000008379,isa,N0000009766
N0000009057,isa,N0000009802
N0000009766,isa,N0000008347
N0000008337,isa,N0000009057
N0000008339,isa,N0000008337
N0000008347,isa,N0000008339
N0000008380,isa,N0000009766
N0000009057,isa,N0000009802
N0000009766,isa,N0000008347
N0000008381,isa,N0000009854
N0000009742,isa,N0000009833
N0000009770,isa,N0000009802
N0000009833,isa,N0000009770
N0000009852,isa,N0000009742
N0000009854,isa,N0000009852
N0000008382,isa,N0000009805
N0000009036,isa,N0000009770
N0000009770,isa,N0000009802
N0000009805,isa,N0000009036
N0000008290,isa,N0000009761
N0000008383,isa,N0000008290
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008384,isa,N0000008663
N0000008663,isa,N0000009074
N0000008663,isa,N0000175550
N0000009057,isa,N0000009802
N0000009073,isa,N0000009057
N0000009074,isa,N0000009073
N0000175550,isa,N0000009073
N0000008385,isa,N0000008664
N0000008664,isa,N0000009075
N0000008664,isa,N0000175550
N0000009057,isa,N0000009802
N0000009073,isa,N0000009057
N0000009075,isa,N0000009073
N0000175550,isa,N0000009073
N0000008386,isa,N0000008665
N0000008665,isa,N0000009076
N0000008665,isa,N0000175550
N0000009057,isa,N0000009802
N0000009073,isa,N0000009057
N0000009076,isa,N0000009073
N0000175550,isa,N0000009073
N0000008292,isa,N0000009036
N0000008387,isa,N0000008292
N0000009036,isa,N0000009770
N0000009770,isa,N0000009802
N0000008292,isa,N0000009036
N0000008388,isa,N0000008292
N0000009036,isa,N0000009770
N0000009770,isa,N0000009802
N0000008389,isa,N0000008636
N0000008636,isa,N0000009049
N0000009022,isa,N0000009770
N0000009049,isa,N0000009022
N0000009049,isa,N0000010268
N0000009755,isa,N0000009770
N0000009759,isa,N0000009770
N0000009770,isa,N0000009802
N0000010268,isa,N0000009755
N0000010268,isa,N0000175642
N0000175642,isa,N0000175725
N0000175725,isa,N0000009759
N0000008390,isa,N0000008663
N0000008663,isa,N0000009074
N0000008663,isa,N0000175550
N0000009057,isa,N0000009802
N0000009073,isa,N0000009057
N0000009074,isa,N0000009073
N0000175550,isa,N0000009073
N0000008391,isa,N0000008664
N0000008664,isa,N0000009075
N0000008664,isa,N0000175550
N0000009057,isa,N0000009802
N0000009073,isa,N0000009057
N0000009075,isa,N0000009073
N0000175550,isa,N0000009073
N0000008392,isa,N0000008665
N0000008665,isa,N0000009076
N0000008665,isa,N0000175550
N0000009057,isa,N0000009802
N0000009073,isa,N0000009057
N0000009076,isa,N0000009073
N0000175550,isa,N0000009073
N0000008300,isa,N0000009761
N0000008393,isa,N0000008300
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008290,isa,N0000009761
N0000008383,isa,N0000008290
N0000008394,isa,N0000008802
N0000008802,isa,N0000008383
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008300,isa,N0000009761
N0000008393,isa,N0000008300
N0000008395,isa,N0000008803
N0000008803,isa,N0000008393
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008315,isa,N0000009761
N0000008396,isa,N0000008804
N0000008425,isa,N0000008315
N0000008804,isa,N0000008425
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008323,isa,N0000009761
N0000008397,isa,N0000008805
N0000008449,isa,N0000008323
N0000008805,isa,N0000008449
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008398,isa,N0000008806
