concept_code_1,class_type_1,relationship_id,relationship_source,relationship_type,concept_code_2,class_type_2
1450910,EPC,Mapped from,FDASPL,NA,1450910,EPC
1545975,EPC,Mapped from,FDASPL,NA,1545975,EPC
1545984,EPC,Mapped from,FDASPL,NA,1545984,EPC
1546021,EPC,Mapped from,FDASPL,NA,1546021,EPC
1597609,EPC,Mapped from,FDASPL,NA,1597609,EPC
19552,EPC,Mapped from,FDASPL,NA,19552,EPC
20481,EPC,Mapped from,FDASPL,NA,20481,EPC
20489,EPC,Mapped from,FDASPL,NA,20489,EPC
20492,EPC,Mapped from,FDASPL,NA,20492,EPC
2180,EPC,Mapped from,FDASPL,NA,2180,EPC
2186,EPC,Mapped from,FDASPL,NA,2186,EPC
2187,EPC,Mapped from,FDASPL,NA,2187,EPC
2189,EPC,Mapped from,FDASPL,NA,2189,EPC
2192,EPC,Mapped from,FDASPL,NA,2192,EPC
2193,EPC,Mapped from,FDASPL,NA,2193,EPC
2194,EPC,Mapped from,FDASPL,NA,2194,EPC
2265702,EPC,Mapped from,FDASPL,NA,2265702,EPC
25037,EPC,Mapped from,FDASPL,NA,25037,EPC
83682,EPC,Mapped from,FDASPL,NA,83682,EPC
10829,EPC,Mapped from,FDASPL,NA,10829,EPC
11124,EPC,Mapped from,FDASPL,NA,11124,EPC
274786,EPC,Mapped from,FDASPL,NA,274786,EPC
1272,EPC,Mapped from,FDASPL,NA,1272,EPC
235559,EPC,Mapped from,FDASPL,NA,235559,EPC
7454,EPC,Mapped from,FDASPL,NA,7454,EPC
1540825,EPC,Mapped from,FDASPL,NA,1540825,EPC
190376,EPC,Mapped from,FDASPL,NA,190376,EPC
1545986,EPC,Mapped from,FDASPL,NA,1545986,EPC
1546029,EPC,Mapped from,FDASPL,NA,1546029,EPC
325642,EPC,Mapped from,FDASPL,NA,325642,EPC
1297882,EPC,Mapped from,FDASPL,NA,1297882,EPC
1546000,EPC,Mapped from,FDASPL,NA,1546000,EPC
3356,EPC,Mapped from,FDASPL,NA,3356,EPC
7233,EPC,Mapped from,FDASPL,NA,7233,EPC
733,EPC,Mapped from,FDASPL,NA,733,EPC
7773,EPC,Mapped from,FDASPL,NA,7773,EPC
7980,EPC,Mapped from,FDASPL,NA,7980,EPC
7984,EPC,Mapped from,FDASPL,NA,7984,EPC
732,EPC,Mapped from,FDASPL,NA,732,EPC
7597,EPC,Mapped from,FDASPL,NA,7597,EPC
2708,EPC,Mapped from,FDASPL,NA,2708,EPC
8536,EPC,Mapped from,FDASPL,NA,8536,EPC
35616,EPC,Mapped from,FDASPL,NA,35616,EPC
35619,EPC,Mapped from,FDASPL,NA,35619,EPC
9384,EPC,Mapped from,FDASPL,NA,9384,EPC
229367,EPC,Mapped from,FDASPL,NA,229367,EPC
229369,EPC,Mapped from,FDASPL,NA,229369,EPC
10169,EPC,Mapped from,FDASPL,NA,10169,EPC
10171,EPC,Mapped from,FDASPL,NA,10171,EPC
9793,EPC,Mapped from,FDASPL,NA,9793,EPC
10180,EPC,Mapped from,FDASPL,NA,10180,EPC
10207,EPC,Mapped from,FDASPL,NA,10207,EPC
10395,EPC,Mapped from,FDASPL,NA,10395,EPC
1545999,EPC,Mapped from,FDASPL,NA,1545999,EPC
